date,close,change,change_pct,per,pbr,dividend_yield_pct
2007-08-28,1829.31,26.28,1.46,15.99,1.69,1.44
2007-08-29,1826.19,-3.12,-0.17,15.97,1.69,1.45
2007-08-30,1841.7,15.51,0.85,16.11,1.71,1.43
2007-08-31,1873.24,31.54,1.71,16.35,1.73,1.41
2007-09-03,1881.81,8.57,0.46,16.39,1.74,1.4
2007-09-04,1874.74,-7.07,-0.38,16.34,1.73,1.41
2007-09-05,1865.59,-9.15,-0.49,16.25,1.72,1.41
2007-09-06,1888.81,23.22,1.24,16.44,1.74,1.39
2007-09-07,1884.9,-3.91,-0.21,16.41,1.74,1.4
2007-09-10,1835.87,-49.03,-2.6,15.97,1.69,1.44
2007-09-11,1847.36,11.49,0.63,16.08,1.7,1.43
2007-09-12,1813.52,-33.84,-1.83,15.78,1.67,1.45
2007-09-13,1848.02,34.5,1.9,16.07,1.7,1.43
2007-09-14,1870.02,22,1.19,16.27,1.72,1.41
2007-09-17,1871.68,1.66,0.09,16.29,1.72,1.41
2007-09-18,1838.61,-33.07,-1.77,16.01,1.69,1.43
2007-09-19,1902.65,64.04,3.48,16.57,1.75,1.39
2007-09-20,1908.97,6.32,0.33,16.63,1.76,1.38
2007-09-21,1919.26,10.29,0.54,16.72,1.77,1.37
2007-09-27,1945.28,26.02,1.36,16.97,1.8,1.35
2007-09-28,1946.48,1.2,0.06,16.99,1.8,1.35
2007-10-01,1962.67,16.19,0.83,17.14,1.81,1.34
2007-10-02,2014.09,51.42,2.62,17.59,1.86,1.3
2007-10-04,2003.6,-10.49,-0.52,17.49,1.85,1.31
2007-10-05,1996.03,-7.57,-0.38,17.44,1.85,1.32
2007-10-08,2012.82,16.79,0.84,17.59,1.86,1.3
2007-10-09,2014.13,1.31,0.07,17.6,1.86,1.3
2007-10-10,2041.12,26.99,1.34,18.11,1.89,1.29
2007-10-11,2058.85,17.73,0.87,18.27,1.9,1.28
2007-10-12,2026.44,-32.41,-1.57,17.98,1.87,1.3
2007-10-15,2035.39,8.95,0.44,18.06,1.88,1.3
2007-10-16,2005.76,-29.63,-1.46,17.79,1.85,1.32
2007-10-17,1983.94,-21.82,-1.09,17.58,1.83,1.33
2007-10-18,2005.09,21.15,1.07,17.73,1.85,1.32
2007-10-19,1970.1,-34.99,-1.75,17.43,1.82,1.34
2007-10-22,1903.81,-66.29,-3.36,16.84,1.76,1.39
2007-10-23,1947.98,44.17,2.32,17.24,1.8,1.36
2007-10-24,1933.36,-14.62,-0.75,17.12,1.79,1.37
2007-10-25,1976.75,43.39,2.24,17.49,1.82,1.34
2007-10-26,2028.06,51.31,2.6,17.92,1.87,1.3
2007-10-29,2062.92,34.86,1.72,18.22,1.9,1.28
2007-10-30,2052.37,-10.55,-0.51,18.11,1.89,1.29
2007-10-31,2064.85,12.48,0.61,18.22,1.9,1.28
2007-11-01,2063.14,-1.71,-0.08,18.21,1.9,1.28
2007-11-02,2019.34,-43.8,-2.12,17.81,1.86,1.31
2007-11-05,2015.76,-3.58,-0.18,17.79,1.86,1.31
2007-11-06,2054.24,38.48,1.91,18.13,1.89,1.29
2007-11-07,2043.19,-11.05,-0.54,18.02,1.88,1.29
2007-11-08,1979.56,-63.63,-3.11,17.49,1.82,1.33
2007-11-09,1990.47,10.91,0.55,17.59,1.83,1.33
2007-11-12,1923.42,-67.05,-3.37,17.01,1.77,1.37
2007-11-13,1932.89,9.47,0.49,17.1,1.78,1.37
2007-11-14,1972.58,39.69,2.05,17.46,1.82,1.34
2007-11-15,1947.74,-24.84,-1.26,17.29,1.8,1.35
2007-11-16,1926.2,-21.54,-1.11,17.11,1.78,1.37
2007-11-19,1893.47,-32.73,-1.7,16.8,1.75,1.39
2007-11-20,1872.24,-21.23,-1.12,16.6,1.73,1.41
2007-11-21,1806.99,-65.25,-3.49,15.98,1.67,1.46
2007-11-22,1799.02,-7.97,-0.44,15.92,1.66,1.46
2007-11-23,1772.88,-26.14,-1.45,15.71,1.63,1.48
2007-11-26,1855.33,82.45,4.65,16.44,1.71,1.42
2007-11-27,1859.79,4.46,0.24,16.47,1.71,1.41
2007-11-28,1834.69,-25.1,-1.35,16.26,1.69,1.43
2007-11-29,1877.56,42.87,2.34,16.65,1.73,1.4
2007-11-30,1906,28.44,1.51,16.89,1.76,1.38
2007-12-03,1902.43,-3.57,-0.19,16.87,1.76,1.38
2007-12-04,1917.83,15.4,0.81,17.01,1.77,1.37
2007-12-05,1938.2,20.37,1.06,17.19,1.79,1.36
2007-12-06,1953.17,14.97,0.77,17.34,1.8,1.35
2007-12-07,1934.32,-18.85,-0.97,17.18,1.79,1.36
2007-12-10,1906.42,-27.9,-1.44,16.93,1.76,1.38
2007-12-11,1925.07,18.65,0.98,17.09,1.78,1.37
2007-12-12,1927.45,2.38,0.12,17.11,1.78,1.36
2007-12-13,1915.9,-11.55,-0.6,17,1.77,1.37
2007-12-14,1895.05,-20.85,-1.09,16.89,1.75,1.39
2007-12-17,1839.82,-55.23,-2.91,16.34,1.7,1.43
2007-12-18,1861.47,21.65,1.18,16.54,1.72,1.42
2007-12-20,1844.37,-17.1,-0.92,16.38,1.7,1.43
2007-12-21,1878.32,33.95,1.84,16.68,1.74,1.4
2007-12-24,1919.47,41.15,2.19,17.04,1.77,1.37
2007-12-26,1906.72,-12.75,-0.66,16.94,1.76,1.38
2007-12-27,1908.62,1.9,0.1,16.94,1.76,1.38
2007-12-28,1897.13,-11.49,-0.6,16.84,1.75,1.39
2008-01-02,1853.45,-43.68,-2.3,16.42,1.71,1.42
2008-01-03,1852.73,-0.72,-0.04,16.44,1.71,1.42
2008-01-04,1863.9,11.17,0.6,16.55,1.72,1.41
2008-01-07,1831.14,-32.76,-1.76,16.26,1.69,1.44
2008-01-08,1826.23,-4.91,-0.27,16.2,1.69,1.44
2008-01-09,1844.47,18.24,1,16.36,1.7,1.43
2008-01-10,1824.78,-19.69,-1.07,16.19,1.69,1.44
2008-01-11,1782.27,-42.51,-2.33,15.82,1.65,1.48
2008-01-14,1765.88,-16.39,-0.92,15.67,1.63,1.49
2008-01-15,1746.95,-18.93,-1.07,15.51,1.61,1.51
2008-01-16,1704.97,-41.98,-2.4,15.15,1.58,1.55
2008-01-17,1723.55,18.58,1.09,15.33,1.6,1.53
2008-01-18,1734.72,11.17,0.65,15.43,1.61,1.52
2008-01-21,1683.56,-51.16,-2.95,14.99,1.56,1.56
2008-01-22,1609.02,-74.54,-4.43,14.35,1.49,1.64
2008-01-23,1628.42,19.4,1.21,14.51,1.51,1.62
2008-01-24,1663,34.58,2.12,14.81,1.54,1.58
2008-01-25,1692.41,29.41,1.77,15.07,1.57,1.56
2008-01-28,1627.19,-65.22,-3.85,14.5,1.51,1.62
2008-01-29,1637.91,10.72,0.66,14.6,1.52,1.61
2008-01-30,1589.06,-48.85,-2.98,14.18,1.48,1.66
2008-01-31,1624.68,35.62,2.24,14.48,1.51,1.62
2008-02-01,1634.53,9.85,0.61,14.57,1.52,1.61
2008-02-04,1690.13,55.6,3.4,15.05,1.57,1.56
2008-02-05,1696.57,6.44,0.38,15.12,1.57,1.55
2008-02-11,1640.67,-55.9,-3.29,14.63,1.52,1.61
2008-02-12,1643.29,2.62,0.16,14.66,1.53,1.6
2008-02-13,1631.78,-11.51,-0.7,14.55,1.51,1.61
2008-02-14,1697.45,65.67,4.02,15.13,1.57,1.55
2008-02-15,1694.77,-2.68,-0.16,15.1,1.57,1.55
2008-02-18,1696.24,1.47,0.09,15.12,1.57,1.55
2008-02-19,1720.52,24.28,1.43,15.32,1.59,1.53
2008-02-20,1687.91,-32.61,-1.9,15.03,1.56,1.56
2008-02-21,1704.36,16.45,0.97,15.18,1.58,1.55
2008-02-22,1686.45,-17.91,-1.05,15.02,1.56,1.56
2008-02-25,1709.13,22.68,1.34,15.23,1.58,1.54
2008-02-26,1709.13,0,0,15.22,1.58,1.54
2008-02-27,1720.89,11.76,0.69,15.32,1.59,1.53
2008-02-28,1736.17,15.28,0.89,15.44,1.61,1.52
2008-02-29,1711.62,-24.55,-1.41,15.23,1.58,1.54
