date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2007-05-15,1589.37,-16.4,-1.02,1600.91,1611.93,1589.24,480251,4655422,780588920
2007-05-16,1600.6,11.23,0.71,1591.07,1600.72,1586,417084,4448254,786362935
2007-05-17,1615.58,14.98,0.94,1614,1616,1608.21,450569,4737709,793737051
2007-05-18,1612.25,-3.33,-0.21,1613.12,1617.77,1600.24,454777,4477906,792089359
2007-05-21,1628.2,15.95,0.99,1602.64,1628.68,1602.64,512786,5238885,799849009
2007-05-22,1642.88,14.68,0.9,1634.09,1643.11,1627.01,529316,6465889,807518839
2007-05-23,1646.59,3.71,0.23,1647.44,1651.61,1638.36,447334,5201199,809266496
2007-05-25,1644.56,-2.03,-0.12,1629.18,1645.08,1627.59,375034,4585695,808153525
2007-05-28,1657.91,13.35,0.81,1650.53,1658.43,1646.15,379269,4554531,814512143
2007-05-29,1661.8,3.89,0.23,1663.32,1666.85,1653.24,495105,5677843,816191937
2007-05-30,1662.72,0.92,0.06,1661.83,1662.72,1638.03,488636,6690894,816292085
2007-05-31,1700.91,38.19,2.3,1683.35,1702.01,1677.78,497059,8014584,835119359
2007-06-01,1716.24,15.33,0.9,1712.97,1745.39,1707.75,615434,9309098,842898549
2007-06-04,1737.59,21.35,1.24,1734.27,1744.02,1713.5,465230,7880713,853448755
2007-06-05,1742.19,4.6,0.26,1735.87,1745.99,1721.02,488031,6974805,855668140
2007-06-07,1753.04,10.85,0.62,1722.47,1753.24,1717.3,496218,7266534,861058033
2007-06-08,1727.28,-25.76,-1.47,1735.96,1739.14,1717.18,503238,7885838,848720278
2007-06-11,1716.56,-10.72,-0.62,1740.46,1742.86,1709.96,475878,6993163,843532929
2007-06-12,1729.88,13.32,0.78,1714.54,1730.63,1712.13,431747,6356730,850001577
2007-06-13,1721.99,-7.89,-0.46,1721.37,1732.57,1714.76,715327,7280100,846341213
2007-06-14,1769.18,47.19,2.74,1742.12,1769.18,1740.7,580496,8619540,869643602
2007-06-15,1772.26,3.08,0.17,1772.03,1776.8,1762.22,539961,7955635,871116229
2007-06-18,1806.88,34.62,1.95,1786.29,1807.51,1784.44,613245,8458977,888201859
2007-06-19,1807.85,0.97,0.05,1813.53,1813.84,1797.18,650869,8672443,888550312
2007-06-20,1783.79,-24.06,-1.33,1812.82,1813.05,1778.26,685990,9598455,876754309
2007-06-21,1794.24,10.45,0.59,1775.48,1802.91,1770.17,579502,8649139,881833670
2007-06-22,1770.98,-23.26,-1.3,1801.2,1802.43,1759.95,531618,7940805,870672230
2007-06-25,1757.73,-13.25,-0.75,1754.2,1785.87,1747.86,394469,5799920,864306131
2007-06-26,1749.55,-8.18,-0.47,1762.48,1768.69,1732.44,401034,5320364,860123472
2007-06-27,1733.1,-16.45,-0.94,1749.01,1749.01,1724.82,306932,5255232,858668336
2007-06-28,1751.75,18.65,1.08,1745.82,1752.24,1737.93,282804,4728265,867495474
2007-06-29,1743.6,-8.15,-0.47,1755.84,1766.25,1742.88,281676,5390270,863539798
2007-07-02,1771.35,27.75,1.59,1741.41,1771.39,1736.63,302331,4649067,876984895
2007-07-03,1805.5,34.15,1.93,1791.69,1806.06,1787.45,401957,6992391,893667644
2007-07-04,1838.41,32.91,1.82,1815.77,1838.82,1814.44,417011,7481390,909782598
2007-07-05,1847.79,9.38,0.51,1841.56,1865.52,1836.93,534045,8360109,914601031
2007-07-06,1861.01,13.22,0.72,1855.03,1863.01,1838.75,414382,7222093,921687915
2007-07-09,1883.59,22.58,1.21,1870.35,1890.83,1865.79,430588,7122457,933302730
2007-07-10,1894.53,10.94,0.58,1887.35,1895.98,1881.36,406271,6499680,938214633
2007-07-11,1889.96,-4.57,-0.24,1880.71,1904.35,1875.43,473883,6425138,935996129
2007-07-12,1909.75,19.79,1.05,1897.59,1922.25,1897.59,445537,7069439,945854542
2007-07-13,1962.93,53.18,2.78,1946.08,1962.94,1941.55,507570,9444156,972432752
2007-07-16,1949.51,-13.42,-0.68,1965.66,1972.33,1932.86,519503,7897543,965372219
